Method,Data size,Data function,Noise mean,Noise std. deviation,Absolute error min,Absolute error max,Absolute error mean,Absolute error std. deviation,Relative error min,Relative error max,Relative error mean,Relative error std. deviation,Normalized error min,Normalized error max,Normalized error mean,Normalized error std. deviation,Time elapsed
fnn,10000000,sphere_func,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,sphere_func,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,rastrigin_func,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fnn,10000000,rosenbrock_func,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
16nn,1000,rastrigin_func,0,0,0.0005767127024978169,0.46439500528715794,0.12391135748137241,0.09442994351719156,0.0011510288135477152,10.456089513662093,0.4339866982864239,1.087814070396554,0.0005294037440081854,0.42629970422517804,0.11374664766643242,0.08668365622599049,0.06683635711669922
16nn,10000,rastrigin_func,0,0,4.198366782298679e-05,0.2754538266541439,0.07992821064796717,0.057871372331290014,0.0001449967572709653,5.338913862963166,0.20131416258771578,0.2671422932026019,4.685365324278905e-05,0.3074056829162104,0.08919965453723502,0.06458428604491803,0.16603565216064453
16nn,100000,rastrigin_func,0,0,2.6242136214049694e-06,0.2987184277503467,0.07659586403419495,0.055474327707900284,5.718676693188064e-06,444.6563219829005,0.239858675959214,3.6430275725597,2.8753552350797714e-06,0.32730627874224,0.0839262157774591,0.06078331325101619,1.5626552104949951
16nn,1000000,rastrigin_func,0,0,1.8436200055482743e-07,0.19276267536987748,0.0439237671488431,0.03197923030687056,3.195976636941553e-07,11.205831966094395,0.11392029340485976,0.14049128608028652,1.8425097540976028e-07,0.19264659123143216,0.04389731569678183,0.03195997200704049,18.180387020111084
16nn,10000000,rastrigin_func,0,0,5.424286531052758e-08,0.10460952163350945,0.018245786452848346,0.013415362315301726,1.2089187272254278e-07,5.0731964215965,0.045234399691518996,0.047787705583071445,5.460175405112807e-08,0.10530165283378701,0.018366506611782466,0.013504122790222717,191.8285677433014
16nn,1000,rastrigin_func,0.0,5.0,1.9762655811994545e-05,0.31820958666930715,0.09956181717887036,0.0746715228678658,3.9631685862989335e-05,2.159521808004694,0.2672995834764062,0.32924398991300147,2.5021471410962996e-05,0.4028847211268033,0.12605508014022365,0.0945415126603273,0.06920528411865234
16nn,10000,rastrigin_func,0.0,5.0,0.0001125464771298823,0.29925312553781863,0.07799190665002896,0.05606911354727316,0.00031055105774776013,3.577342316844534,0.20058120730639567,0.2231257110954999,0.00014252572303125133,0.378965820826346,0.09876677768468202,0.07100436328028484,0.15321755409240723
16nn,100000,rastrigin_func,0.0,5.0,1.012422915019906e-05,0.26789304267164793,0.06905107639975663,0.05008810278415193,2.8269501042778437e-05,4.783409830506847,0.18466812093648885,0.201612979450923,1.1660606333708357e-05,0.30854648425969305,0.07952975054901347,0.05768909809363941,1.472055196762085
16nn,1000000,rastrigin_func,0.0,5.0,4.0745313856227483e-07,0.17839351318322771,0.04004749342504717,0.029186995173385875,6.282428138921718e-07,1.9694771626441807,0.0952157906778517,0.09236192298156763,4.5049071926709847e-07,0.19723647816303178,0.04427754362514629,0.032269896104615066,16.865320444107056
16nn,10000000,rastrigin_func,0.0,5.0,4.2566052349535255e-09,0.09562076222580806,0.01747163946542121,0.012918735450076758,1.0085477568825094e-08,0.9333706578927303,0.040785173622985844,0.037346547426352246,4.7628247480011244e-09,0.10699252282359753,0.019549465416886323,0.014455104365621727,192.8655400276184
16nn,1000,rosenbrock_func,0,0,3.510580152307763e-05,0.5218582193780632,0.07185269508467185,0.07678312671879804,0.000246145212036112,6.603324887379799,0.6058449755696128,0.8355134341396242,3.7948868352183293e-05,0.5641212565012746,0.07767173367983923,0.08300145961929394,0.08721280097961426
16nn,10000,rosenbrock_func,0,0,5.565626631219263e-05,0.3473175363610843,0.0360091119673503,0.041286001557450935,0.0004204403845805882,5.177513843215621,0.2616368644735367,0.3494472730830766,5.564882887555624e-05,0.347271123758505,0.03600430001163829,0.041280484442471795,0.23323535919189453
16nn,100000,rosenbrock_func,0,0,1.0157662848364092e-07,0.21350070226715645,0.014175328110270249,0.018091591966159417,3.6475953759003023e-06,33.42141606207213,0.10454252067712436,0.3339241884954029,1.0509921794757258e-07,0.22090472163239278,0.014666916206808166,0.018718992699941473,1.5562894344329834
16nn,1000000,rosenbrock_func,0,0,1.348539585641767e-08,0.10764612942863938,0.005742783184657831,0.007617576297737816,4.440628903443935e-07,7.1663899971498335,0.044865774092219195,0.06059377325250352,1.52275519474794e-08,0.12155275568270482,0.006484683890526784,0.008601678439605293,17.13384222984314
16nn,10000000,rosenbrock_func,0,0,6.359819355178375e-11,0.07244454876837403,0.0028815220198102447,0.003781614049473531,3.659350170101292e-09,11.317869070079057,0.021737937966952996,0.02544058558481,6.548941271981961e-11,0.07459883195786275,0.002967209825904065,0.0038940678878149415,184.53551149368286
16nn,1000,rosenbrock_func,0.0,5.0,0.00019539084676923056,0.35909700332878436,0.06125192690594703,0.0639326911490647,0.0006361996554868495,11.776344552507966,0.6777712919763912,1.219435040415037,0.0001788750267297886,0.552125196252575,0.09472168781796916,0.0987455185070661,0.06472277641296387
16nn,10000,rosenbrock_func,0.0,5.0,3.481978240319969e-05,0.2836435713744678,0.03377766144596635,0.03739654179327443,0.0003612609933472565,393.3311009626132,0.5421304212903003,10.18017645889766,4.0512156652396934e-05,0.330013917488233,0.039299668676989516,0.04351016734808267,0.30614161491394043
16nn,100000,rosenbrock_func,0.0,5.0,3.9290804595970563e-07,0.22504581333788704,0.014799942046171837,0.01912004866295919,2.9466753007468597e-06,26.695997663658517,0.10250365953313592,0.2654931355437716,4.244826841400966e-07,0.24313080855044206,0.0159892860161005,0.020656562421667808,1.5867094993591309
16nn,1000000,rosenbrock_func,0.0,5.0,1.062795857431631e-07,0.13494517927534053,0.006056480287136735,0.008101676334387072,5.580378832049067e-07,16.650023746409914,0.0443249931646263,0.0709060763760526,1.0997688244923999e-07,0.13963970610612253,0.006267175543986576,0.008383520688741429,16.666048288345337
16nn,10000000,rosenbrock_func,0.0,5.0,1.7639282656051192e-10,0.08702830065703027,0.002946775392860691,0.0038642547701404706,2.296802799640172e-08,3.5192680432498937,0.02168809392902974,0.022592371420937445,1.7293582301993735e-10,0.08532269193490725,0.002889023537725569,0.0037885218580797015,186.30388259887695
16nn,1000,sphere_func,0,0,0.0008979346732166382,0.4218519513555532,0.07037244609079664,0.07000986523592559,0.0036529896643499636,1.35019821812401,0.19069427847286197,0.1804322795478388,0.000994614937065758,0.4672725806940098,0.07794941895831475,0.0775477991691413,0.05848503112792969
16nn,10000,sphere_func,0,0,1.0187647808440614e-05,0.19225014422377162,0.026908157614443366,0.025784901748501253,5.34457507127731e-05,31.84832709009286,0.10105428366575045,0.8291069746640451,1.1800708927592915e-05,0.22269006898656687,0.03116866049518873,0.029867553922363156,0.12887263298034668
16nn,10000000,sphere_func,0,0,1.124615234271431e-09,0.04598721210335843,0.0027443236102058922,0.0025486232424036144,2.325765526377879e-09,4.647162713019646,0.008821244797276456,0.0092215884498992,1.1373421402282584e-09,0.04650763447166761,0.0027753802306729057,0.0025774651852628256,124.8818097114563
16nn,100000,sphere_func,0,0,8.942688488056127e-07,0.13344794664717777,0.01175578608783221,0.011793773943486215,2.878285595498142e-06,3.1177627371729564,0.0362917086768733,0.04589925547681189,9.474607284150896e-07,0.14138554519113813,0.012455030346573751,0.012495277752526608,1.0000476837158203
16nn,1000000,sphere_func,0,0,2.010520918915848e-07,0.07007421039110151,0.0054014105043216154,0.005249005639853268,5.862556113769846e-07,2.7566713907826785,0.017228038566220634,0.018917691961724936,2.06718206258265e-07,0.07204906420383825,0.005553634782969648,0.005396934795859243,11.204059839248657
16nn,1000,sphere_func,0.0,5.0,0.0006611334502296895,0.26767330720448096,0.052776846201757224,0.0516749323198152,0.0022363985212597985,0.48549757491976725,0.13511795138389787,0.10223960011628075,0.0009159403146224209,0.37030782282421326,0.07300762135766649,0.07151434221075068,0.0849599838256836
16nn,10000,sphere_func,0.0,5.0,8.828903605373473e-06,0.19015700280008874,0.026947911798000053,0.025517462692847125,5.546214530938126e-05,0.35712172018166816,0.06462503642362562,0.05001585844942415,1.0963595825884995e-05,0.23613402245019355,0.03346349971757028,0.03168719016211758,0.1823558807373047
16nn,100000,sphere_func,0.0,5.0,1.3897083587788295e-06,0.12592424628559976,0.013303329004175652,0.011460770836560094,3.051936147857795e-06,0.21604383957941115,0.032630428112235384,0.025730530232813555,1.726272567374863e-06,0.15642100053366842,0.016525173623371477,0.01423637856903199,0.9924485683441162
16nn,1000000,sphere_func,0.0,5.0,1.750795246557857e-07,0.08366694910645134,0.00880392299306647,0.006833138826341845,3.5134094534368405e-07,0.265558694182039,0.023927671004833555,0.01983229088536345,2.2344840004606676e-07,0.10678145232189742,0.01123616545565297,0.008720916629403741,12.505545854568481
16nn,10000000,sphere_func,0.0,5.0,1.1673563449221547e-08,0.05492415070496548,0.00772325367496886,0.005851557216558134,2.091463864841021e-08,0.24493977970769992,0.02187292035777505,0.018719604670046464,1.5234286509812936e-08,0.07167736328219347,0.010079035402020915,0.007636425634158417,129.60819554328918
1nn,100000,rastrigin_func,0,0,1.2271210260872412e-05,0.3694093165638956,0.07755656434557671,0.05728387679089818,4.263928889399311e-05,3.1884201164534898,0.18470864750448396,0.1772896194200497,1.322101760140848e-05,0.39800206928149556,0.08355954144043333,0.06171772198739393,1.2040443420410156
1nn,10000,rastrigin_func,0,0,0.00030557612083004226,0.522246750581216,0.1164349078343345,0.08273370689552469,0.0006797872106673701,6.981171061728078,0.29904441786346514,0.3614559129359272,0.0003519686242441802,0.6015341441561776,0.134112031441233,0.09529432115160294,0.15248656272888184
1nn,1000,rastrigin_func,0,0,0.0004305480682612606,0.3890653779123269,0.13688904768981858,0.09793579770675999,0.0007040131034265458,37.37795150982437,0.5651990377485451,3.027611950317582,0.0005259728391647805,0.47529610867302463,0.16722853119453945,0.11964185505167443,0.06782674789428711
1nn,10000000,rastrigin_func,0,0,1.7034441635033204e-09,0.14628554490688953,0.026351876764401448,0.019680128351477137,2.4950461898905836e-09,3.0392767429579832,0.06400231919185516,0.05681461904032795,1.7263881472065996e-09,0.14825589018164526,0.026706814744751665,0.019945203399928443,121.15736627578735
1nn,1000000,rastrigin_func,0,0,2.8473987934152234e-07,0.2695496989698175,0.046219853429645574,0.03426510826379083,5.813619203930173e-07,5.7619728569720925,0.11373003459412015,0.10557684307179313,2.9137839589476395e-07,0.2758340668029096,0.04729743786492268,0.03506397594939154,14.356464862823486
1nn,100000,rastrigin_func,0.0,5.0,7.456281526208031e-06,0.37945223226854935,0.08133313605328352,0.05988439079446474,1.7675619074513203e-05,4.363546367398766,0.19510574535962427,0.18307656116402699,8.030101808876231e-06,0.40865410540250957,0.08759236901764303,0.06449297188576485,1.506474494934082
1nn,10000,rastrigin_func,0.0,5.0,7.966274676718399e-05,0.5448348772042174,0.11010466049314746,0.08315715413370327,0.00012009828588276168,4.047187045670781,0.26978057411832573,0.286950948349939,9.956788997471087e-05,0.6809714867903774,0.13761625309912878,0.10393543669279284,0.1598672866821289
1nn,1000,rastrigin_func,0.0,5.0,0.006019130277386098,0.4323790796724244,0.13489911163476953,0.09569766146664933,0.011051238716369148,9.882012152065782,0.34347376968985255,0.8089199614119191,0.0069300063818401245,0.497811086223123,0.15531341929011885,0.11017960637646376,0.07073688507080078
1nn,10000000,rastrigin_func,0.0,5.0,1.0216051476996668e-07,0.2158065920190433,0.03252878361771349,0.024489967543075256,2.090551443604157e-07,1.3570628050274842,0.0757748928113978,0.06375418115384403,1.165367773873256e-07,0.2461753920237108,0.03710630886770341,0.027936252104998276,132.32964873313904
1nn,1000000,rastrigin_func,0.0,5.0,3.7789394918830155e-07,0.24894335523201322,0.04796915338534131,0.03584743158411353,8.246596326164382e-07,2.3267476417721897,0.11638899896210894,0.10132792420216727,4.3236208734008583e-07,0.28482506515055295,0.05488323729493831,0.04101433849041385,12.976531267166138
1nn,1000,rosenbrock_func,0,0,8.74732051812507e-05,0.48055803401757446,0.07196870607402116,0.07458400211158257,0.002645519845461565,458.6891060686997,3.460073521385751,37.30342370364894,9.441919098459089e-05,0.5187177113159046,0.07768352593959142,0.08050649481949114,0.09730672836303711
1nn,1000000,rosenbrock_func,0,0,9.037364367275869e-09,0.1074268479687227,0.009633391320195642,0.009984850229657618,5.980194213178553e-07,2.640701509840199,0.0782908524881588,0.06993662487920947,9.533592476520158e-09,0.11332549490638755,0.010162346374585244,0.010533103365106215,16.133235216140747
1nn,10000000,rosenbrock_func,0,0,2.5849951068579458e-09,0.07776037429577054,0.0054023921683495,0.0055495047090951145,4.667182922876474e-08,3.125319517459198,0.04404694290871338,0.03902578708151167,2.630482115215144e-09,0.07912868899240835,0.005497455658821356,0.005647156873469131,176.83154892921448
1nn,100000,rosenbrock_func,0,0,4.135319842747719e-06,0.1743213565395405,0.019819645802781925,0.020328643065934824,6.954266093785871e-06,5.093414458252356,0.14247612986162153,0.14091050132719854,3.7955893305678388e-06,0.16000026748401555,0.0181913948631088,0.01865857627948691,1.2627391815185547
1nn,10000,rosenbrock_func,0,0,6.867796987219954e-07,0.3356674105346436,0.03431129593733551,0.03591781456376208,2.5692900065523096e-06,2.7265861711796764,0.25890237325402643,0.26800122255951203,7.925341945428096e-07,0.38735551056239215,0.03959475700871539,0.04144865709921353,0.1696929931640625
1nn,1000000,rosenbrock_func,0.0,5.0,5.211310025177163e-08,0.11667818230953819,0.01007570420013286,0.010377257987220124,9.9063633384994e-07,4.108337548367032,0.07860971657990148,0.07087411371480111,5.414217086283181e-08,0.1212211526861309,0.010468010840487273,0.010781305896546762,16.239996910095215
1nn,100000,rosenbrock_func,0.0,5.0,5.075465564080561e-07,0.22439549789567126,0.018111883754463994,0.018831825874934417,3.253851053577781e-05,7.348302246443472,0.1404475302492561,0.1445213922752689,5.487973522866302e-07,0.2426332196630579,0.019583925304739402,0.020362380649427296,1.5731987953186035
1nn,1000,rosenbrock_func,0.0,5.0,7.112801972711247e-05,0.4404678687418474,0.0804778574552397,0.08937335382324453,0.0005695408927861039,2.3966377286249267,0.4131350876544634,0.3989420892844851,7.561572049652002e-05,0.4682584356806684,0.08555547024704478,0.0950122127462946,0.06454610824584961
1nn,10000,rosenbrock_func,0.0,5.0,9.731829029215738e-07,0.3007474331517626,0.036064831798506725,0.036172514624414016,0.00011182784645007293,3.832163078150784,0.2585432191147401,0.2656733292628443,9.625418548977112e-07,0.29745897846393987,0.035670489063972084,0.035776994456409916,0.2257366180419922
1nn,10000000,rosenbrock_func,0.0,5.0,3.2528717913704597e-09,0.08064296182911179,0.005465224123829939,0.005612113116071236,4.88289102857724e-08,3.348422979024231,0.0439586423088006,0.038184554097530805,3.330298161158304e-09,0.08256246317556272,0.005595309934499664,0.005745695246965201,173.05355620384216
1nn,100000,sphere_func,0,0,1.5651204510191974e-07,0.09976080851069169,0.017776527317365405,0.013801195888785204,5.167971332062238e-07,1.737873839068795,0.058837813873327906,0.051774696079762025,1.7132494464193606e-07,0.1092025536079293,0.019458965963867123,0.015107393939545669,0.7103874683380127
1nn,1000000,sphere_func,0,0,1.6495312352149405e-07,0.06992176000539718,0.01001145289255946,0.007724569848313394,9.205926711529124e-07,1.6899627690079737,0.03310321031631165,0.028798566110607556,1.683148552878431e-07,0.07134676000995026,0.010215485520118878,0.007881995978150052,7.2630205154418945
1nn,10000000,sphere_func,0,0,1.5010647724800208e-09,0.03877696551294596,0.005545555215295455,0.0042682080342469845,4.6256149023659095e-09,0.6286887020737691,0.018513253936618124,0.01562857316625979,1.5001354371392522e-09,0.03875295801831973,0.005542121865489205,0.004265565512324745,90.43555021286011
1nn,10000,sphere_func,0,0,1.3175105029183953e-05,0.16262493418871582,0.034791718590586204,0.02654772077024483,1.977888015292268e-05,4.047853753296932,0.10815316027645003,0.1394028331556822,1.3998270320801876e-05,0.17278555158639672,0.03696546484278457,0.028206391593833945,0.18500661849975586
1nn,1000,sphere_func,0,0,0.0005716953254137347,0.2738721529638139,0.061980079323537815,0.05448957617246496,0.003193371518834109,0.8842484239722894,0.16938032165011993,0.14268241757546682,0.000741361239560998,0.3551510564749747,0.08037432945972288,0.07066081868893574,0.04703569412231445
1nn,100000,sphere_func,0.0,5.0,2.079587309689046e-06,0.21355739777688582,0.034974394623788825,0.026614276558461984,6.610969397126825e-06,0.9279246617718531,0.09029019467424444,0.07680837026960571,2.681804214283354e-06,0.27540037712341864,0.045102448191084006,0.03432136688950001,0.7141156196594238
1nn,10000000,sphere_func,0.0,5.0,2.052385816853075e-09,0.18654365242625612,0.030706895458498036,0.023208108474233408,4.9104731570883275e-09,0.8398758791307526,0.07988919783055246,0.06807521077291312,2.6244832084849588e-09,0.23854222701306624,0.03926636544346198,0.029677310421446633,88.73436164855957
1nn,1000,sphere_func,0.0,5.0,0.0024091372324380354,0.29725099756638806,0.07890310959636213,0.0569502171656875,0.004072575737565789,1.4979888917415414,0.21673804802174054,0.20033238741473328,0.0029415642776563482,0.36302058906560025,0.09636931154264496,0.0695597091725382,0.049590349197387695
1nn,10000,sphere_func,0.0,5.0,2.201242240384982e-05,0.23233817267685292,0.05054489080786605,0.038189327756198106,8.611130762854894e-05,0.7445385842748627,0.13075986162186323,0.10905668199786622,2.532399375310477e-05,0.2672913650997075,0.05814891589786593,0.04393456929865618,0.12239265441894531
1nn,1000000,sphere_func,0.0,5.0,2.5808562542639635e-07,0.19466513061903432,0.03215861918789658,0.024289448676912823,4.858932842172152e-07,0.9517932558913886,0.08991284844333257,0.07843287789934052,3.3448261665661563e-07,0.252288759413398,0.041678024788323394,0.031479468634402416,8.363439798355103
2nn,100000,rastrigin_func,0,0,2.406345249783559e-06,0.3117049650307334,0.07029867781044129,0.052393186382142146,8.801338696024729e-06,9.961470538069376,0.1783703866900943,0.2243563292305915,2.448701417880985e-06,0.31719155424598894,0.07153606575991925,0.05331540425996385,1.0875146389007568
2nn,1000,rastrigin_func,0,0,0.0005755107010515514,0.510046683353372,0.1202080061511667,0.09226180395671121,0.0014045442715054832,3.9096658628590015,0.35380000193439765,0.4633310766912234,0.0007450365380455078,0.6602890519895838,0.15561718762931573,0.11943898677843037,0.05654287338256836
2nn,10000,rastrigin_func,0,0,0.0003078577595568843,0.41677914313576003,0.10135317970838728,0.07376901158832873,0.0006193955106984104,2.5902077327255846,0.2618367019073306,0.26649347843366494,0.00033687634264902976,0.4560646242409504,0.11090670102048383,0.08072245721686364,0.14405107498168945
2nn,1000000,rastrigin_func,0,0,9.012019797638438e-07,0.21742379167438403,0.03821986092435498,0.02888258258177932,2.2157093623310434e-06,5.970947108590323,0.09276616201187395,0.09071865259916077,9.159476329830938e-07,0.2209813247309415,0.038845222195117164,0.029355165372752408,14.159908533096313
2nn,10000000,rastrigin_func,0,0,1.0439084208169191e-08,0.13634730764552713,0.020955058753135032,0.016178818226357316,2.449715666135217e-08,2.689654647739704,0.05072454668149241,0.04676007652126611,1.0624259109872574e-08,0.13876592012027114,0.0213267724846675,0.016465808063300887,136.9249484539032
2nn,1000,rastrigin_func,0.0,5.0,0.00043713781311971456,0.34342494907715426,0.10273745506608825,0.07943840868121033,0.0010148341611309047,3.380749394194406,0.2554718903811524,0.35053979293604864,0.0005629189683957682,0.4422413533073567,0.13229892378486802,0.10229585664688787,0.07296943664550781
